日期2,收盘,开盘,高,低,交易量,涨跌幅,日期
2022/5/26,261780,271000,271470,253510,59.67K,-0.0362,20220526
2022/5/25,271620,277320,278000,268200,43.26K,-0.0318,20220525
2022/5/24,280530,283200,284500,275810,33.94K,-0.0128,20220524
2022/5/23,284170,284200,287470,280500,39.25K,-0.0024,20220523
2022/5/20,284840,283190,288570,282500,46.38K,0.0243,20220520
2022/5/19,278080,274060,284000,272480,58.96K,0.0018,20220519
2022/5/18,277570,282000,284800,270630,58.77K,-0.0164,20220518
2022/5/17,282200,286220,287200,277610,54.38K,-0.0495,20220517
2022/5/16,296910,297000,299000,295000,0.11K,0.0065,20220516
2022/5/13,294980,299000,301000,284530,0.07K,-0.0042,20220513
2022/5/12,296210,310000,310000,288800,0.23K,-0.0309,20220512
2022/5/11,305660,315500,315500,301500,0.32K,-0.0393,20220511
2022/5/10,318160,319500,322550,313000,0.42K,-0.0357,20220510
2022/5/9,329950,333000,333340,325020,1.21K,-0.0112,20220509
2022/5/6,333700,336560,336810,333000,0.47K,-0.0025,20220506
2022/5/5,334520,331260,336500,331000,0.54K,0.0011,20220505
2022/4/29,334160,330600,336870,330600,4.42K,0.007,20220429
2022/4/28,331830,332600,335400,329080,6.56K,-0.0023,20220428
2022/4/27,332590,332990,337020,329400,18.70K,0.017,20220427
2022/4/26,327040,322990,335800,320200,28.87K,-0.0109,20220426
2022/4/25,330650,333500,335430,323080,38.95K,-0.0187,20220425
2022/4/22,336950,337660,339460,335400,18.04K,-0.0021,20220422
2022/4/21,337660,337190,340000,335010,20.63K,-0.0094,20220421
2022/4/20,340850,338000,344000,337640,25.53K,-0.0034,20220420
2022/4/19,342010,336690,346490,336200,32.78K,0.0201,20220419
2022/4/18,335280,341000,341000,333330,22.71K,-0.0228,20220418
2022/4/15,343100,344790,344790,340500,0.06K,-0.0055,20220415
2022/4/14,345000,345000,345000,345000,0.02K,0.0157,20220414
2022/4/13,339670,341500,342000,336500,0.04K,-0.0063,20220413
2022/4/12,341830,341550,343500,340500,0.10K,0.0018,20220412
2022/4/11,341210,344170,345110,339600,0.16K,0.0062,20220411
2022/4/8,339100,343300,345490,334000,0.13K,-0.0098,20220408
2022/4/7,342440,343580,343960,341000,0.26K,-0.0156,20220407
2022/4/6,347860,347350,348450,347180,0.26K,0.011,20220406
2022/4/1,344060,346620,346620,341480,0.23K,-0.0058,20220401
2022/3/31,346050,349080,349790,343000,0.39K,-0.009,20220331
2022/3/30,349200,349990,350500,343250,0.32K,0.0041,20220330
2022/3/29,347770,345280,350260,345280,0.80K,0.0056,20220329
2022/3/28,345830,346990,346990,340100,2.67K,-0.0071,20220328
2022/3/25,348290,351410,356990,340700,0.72K,-0.0193,20220325
2022/3/24,355130,343830,363000,343830,2.54K,0.0397,20220324
2022/3/23,341570,338650,344530,338190,1.21K,0.0029,20220323
2022/3/22,340580,336600,342600,336600,1.46K,-0.0132,20220322
2022/3/21,345120,340500,348390,339130,3.07K,0.0194,20220321
2022/3/18,338560,333300,344350,332850,2.38K,0.0168,20220318
2022/3/17,332980,336060,336380,330310,1.41K,-0.001,20220317
2022/3/16,333300,326100,339450,326100,1.66K,-0.0031,20220316
2022/3/15,334330,334000,339900,328000,0.06K,-0.0106,20220315
2022/3/14,337900,344830,344830,336600,0.17K,-0.03,20220314
2022/3/11,348350,345860,355900,345800,0.01K,0.0182,20220311
2022/3/10,342130,355010,358010,325780,0.62K,-0.0758,20220310
2022/3/9,370200,391660,396660,355000,0.72K,0.0488,20220309
2022/3/8,352990,358000,391660,345660,0.75K,0.0094,20220308
2022/3/7,349700,343290,358000,341900,1.62K,0.0232,20220307
2022/3/4,341780,343170,343500,340000,0.64K,-0.0024,20220304
2022/3/3,342590,342920,345100,340100,1.84K,0.0074,20220303
2022/3/2,340070,334550,344290,334550,1.12K,-0.0052,20220302
2022/3/1,341840,341390,342980,340600,1.53K,0.0103,20220301
2022/2/28,338360,336100,341200,333510,7.03K,-0.0058,20220228
2022/2/25,340330,340410,344990,336500,14.09K,0.0057,20220225
2022/2/24,338410,336990,340500,335900,27.19K,0.0043,20220224
